text,label
trust laughs,1
does n't pummel us with phony imagery or music,1
's still unusually crafty and intelligent for Hollywood horror .,1
artificial suspense,0
the spirit,1
Possibly the most irresponsible picture ever released by a major film studio .,0
a plot that 's just too boring and obvious,0
self-consciously poetic,1
of faith just,1
is so poorly paced you could fit all of Pootie Tang in between its punchlines .,0
most closely,1
The milieu is wholly unconvincing ... and,0
an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly-dancing clubs,1
poise,1
you feel pissed off,0
a black hole,0
"Plunges you into a reality that is , more often then not , difficult and sad , and",1
a Japan bustling,1
"The storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and",1
Apparently writer-director Attal thought he need only cast himself,0
"a terrible movie , just a stultifyingly obvious one --",0
While Broomfield 's film does n't capture the effect of these tragic deaths on hip-hop culture,0
wear down possible pupils,0
", claustrophobic",0
"feels like a ruse , a tactic to cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas .",0
"a young woman of great charm , generosity and diplomacy",1
"charming , funny and beautifully crafted import",1
can not be revived .,0
a cinematic fluidity and sense of intelligence that makes it work more than it probably should,1
with a fresh point of view,1
to shine,1
did they deem it necessary to document all this emotional misery,0
"is worth your time ,",1
"What lifts the film high above run-of-the-filth gangster flicks is its refusal to recognise any of the signposts , as if discovering a way through to the bitter end without a map .",1
give you a few laughs,1
style massacres erupt throughout,0
"'s difficult to conceive of anyone who has reached puberty actually finding the characters in Slackers or their antics amusing , let alone funny",0
poignant and leavened,1
its flaws,0
occasionally satirical,1
"complex , unpredictable character",1
"is that for the most part , the film is deadly dull",0
emphasizes the computer and the cool,1
moments of spontaneous creativity and authentic co-operative interaction,1
outgag any of those young whippersnappers making moving pictures today,1
Eckstraordinarily,1
have potential,1
all the best possible ways,1
"stops moving , portraying both the turmoil of the time and giving Conduct a perpetual sense of urgency , which , for a film that takes nearly three hours to unspool , is both funny and irritating .",1
is a solid action pic that returns the martial arts master to top form,1
Clooney might have better luck next time,0
"tension , eloquence , spiritual challenge -- things that have made the original New Testament stories so compelling for 20 centuries",1
"For more than two decades Mr. Nachtwey has traveled to places in the world devastated by war , famine and poverty and documented the cruelty and suffering he has found with an devastating , eloquent clarity .",1
", very well told with an appropriate minimum of means .",1
there is n't one true ` Chan moment ' .,0
", Changing Lanes is also a film of freshness , imagination and insight .",1
it 's so bad,0
fatal ailments,0
A coming-of-age movie,1
the picture itself is somewhat problematic,0
"a lot to ask people to sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as Phoenix 's",0
"This Orange has some juice ,",1
One-of-a-kind near-masterpiece .,1
performances of exceptional honesty,1
a Hollywood film,1
is certainly no disaster,1
"do cliches , no matter how ` inside ' they are",0
Gangster No. 1 a worthwhile moviegoing experience,1
pretty listless,0
", as Blood Work proves , that was a long , long time ago .",0
horribly depressing and not very well done,0
Filmmaker Tian Zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .,1
"have poignancy jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it looks neat .",0
It is supremely unfunny and unentertaining to watch middle-age and,0
there 's no rooting interest,0
fatal for a film that relies on personal relationships,0
"It 's plotless , shapeless -- and",0
made by the smartest kids in class,1
"disgust ,",0
comes across as lame and sophomoric,0
the filmmakers and studio are brazen enough to attempt to pass this stinker off as a scary movie,0
gives it a sturdiness and solidity that we 've long associated with Washington,1
"crafted ,",1
